wavelength,scan1-2,scan2-2,absorbance2,scan1-4,scan2-4,absorbance4
3716.89803,0.00038,0.00041,0.000395,0.00053,0.00019,0.00036
3714.83767,0.00025,0.00037,0.00031,0.00052,0.00036,0.00044
3712.7773,0.0001,0.00051,0.000305,0.00036,0.00041,0.000385
3710.71694,0.00014,0.00068,0.00041,0.0002,0.00026,0.00023
3708.65657,0.00023,0.00057,0.0004,0.00023,0.00015,0.00019
3706.59621,0.00013,0.00035,0.00024,0.00029,0.00024,0.000265
3704.53584,0.00005,0.0003,0.000175,0.00042,0.00051,0.000465
3702.47548,0.00006,0.00036,0.00021,0.00062,0.00076,0.00069
3700.41512,0.00014,0.00041,0.000275,0.00064,0.00079,0.000715
3698.35475,0.00025,0.00047,0.00036,0.00058,0.00076,0.00067
3696.29439,0.00028,0.00055,0.000415,0.00056,0.00077,0.000665
3694.23402,0.00033,0.0007,0.000515,0.00065,0.00089,0.00077
3692.17366,0.00054,0.00101,0.000775,0.00084,0.00108,0.00096
3690.11329,0.00075,0.00119,0.00097,0.00084,0.00096,0.0009
3688.05293,0.00049,0.00084,0.000665,0.00058,0.00045,0.000515
3685.99256,0.00012,0.00051,0.000315,0.00048,0.00023,0.000355
3683.9322,0.00021,0.00068,0.000445,0.00053,0.00035,0.00044
3681.87183,0.00058,0.00117,0.000875,0.0006,0.00047,0.000535
3679.81147,0.00091,0.0016,0.001255,0.00061,0.00055,0.00058
3677.7511,0.00112,0.00179,0.001455,0.00065,0.00064,0.000645
3675.69074,0.00106,0.00164,0.00135,0.00076,0.00067,0.000715
3673.63037,0.00077,0.00141,0.00109,0.00079,0.00072,0.000755
3671.57001,0.00074,0.00159,0.001165,0.00076,0.00084,0.0008
3669.50964,0.00086,0.00173,0.001295,0.00081,0.00094,0.000875
3667.44928,0.00081,0.00145,0.00113,0.00088,0.00098,0.00093
3665.38891,0.0007,0.00121,0.000955,0.0009,0.00093,0.000915
3663.32855,0.00064,0.00116,0.0009,0.00106,0.00094,0.001
3661.26818,0.00068,0.0012,0.00094,0.00125,0.00112,0.001185
3659.20782,0.00085,0.00129,0.00107,0.00125,0.00127,0.00126
3657.14746,0.00105,0.00136,0.001205,0.00123,0.0013,0.001265
3655.08709,0.00118,0.00149,0.001335,0.00121,0.00125,0.00123
3653.02673,0.00131,0.0018,0.001555,0.00118,0.00128,0.00123
3650.96636,0.00146,0.00225,0.001855,0.00121,0.00148,0.001345
3648.906,0.00144,0.00259,0.002015,0.00108,0.00164,0.00136
3646.84563,0.00126,0.00235,0.001805,0.00096,0.0015,0.00123
3644.78527,0.0012,0.00186,0.00153,0.00097,0.00131,0.00114
3642.7249,0.00109,0.00153,0.00131,0.00104,0.00133,0.001185
3640.66454,0.00089,0.00141,0.00115,0.00124,0.00158,0.00141
3638.60417,0.00094,0.00164,0.00129,0.0014,0.00178,0.00159
3636.54381,0.00125,0.00215,0.0017,0.00146,0.00179,0.001625
3634.48344,0.00137,0.00246,0.001915,0.00154,0.00176,0.00165
3632.42308,0.00129,0.00245,0.00187,0.00161,0.0018,0.001705
3630.36271,0.00143,0.00259,0.00201,0.00171,0.0019,0.001805
3628.30235,0.00177,0.00284,0.002305,0.00192,0.00192,0.00192
3626.24198,0.0019,0.00269,0.002295,0.00188,0.00189,0.001885
3624.18162,0.00184,0.00251,0.002175,0.00166,0.00193,0.001795
3622.12125,0.00173,0.00254,0.002135,0.00165,0.0021,0.001875
3620.06089,0.00168,0.00274,0.00221,0.00196,0.00248,0.00222
3618.00052,0.0019,0.00298,0.00244,0.00227,0.00279,0.00253
3615.94016,0.00224,0.00323,0.002735,0.00236,0.00285,0.002605
3613.8798,0.00243,0.0034,0.002915,0.00232,0.00279,0.002555
3611.81943,0.00238,0.00338,0.00288,0.00221,0.00271,0.00246
3609.75907,0.00232,0.00335,0.002835,0.00222,0.00274,0.00248
3607.6987,0.00232,0.00339,0.002855,0.00234,0.00276,0.00255
3605.63834,0.00235,0.0034,0.002875,0.00238,0.00276,0.00257
